Retriever	Correct/Total	Accuracy (%)
CLIP	112/200	56.00

BGE 1	189/200	94.50
BGE 2	196/200	98.00
BGE 3	182/200	91.00
BGE 4	193/200	96.50
BGE 5	198/200	99.00

TF-IDF 1	143/200	71.50
TF-IDF 2	156/200	78.00
TF-IDF 3	167/200	83.50
TF-IDF 4	176/200	88.00
TF-IDF 5	181/200	90.50

BM25+SW 1	131/200	65.50
BM25+SW 2	131/200	65.50
BM25+SW 3	134/200	67.00
BM25+SW 4	149/200	74.50
BM25+SW 5	153/200	76.50

BM25-SW 1	129/200	64.50
BM25-SW 2	138/200	69.00
BM25-SW 3	139/200	69.50
BM25-SW 4	153/200	76.50
BM25-SW 5	154/200	77.00
